t,cases
1,1
2,0
3,0
4,2
5,0
6,0
7,0
8,3
9,6
10,10
11,13
12,16
13,16
14,19
15,30
16,46
17,56
18,65
19,136
20,152
21,164
22,240
23,286
24,396
25,459
26,631
27,745
28,810
29,862
30,1052
31,1223
32,1406
33,1451
34,1517
35,2339
36,2981
37,3506
38,4048
39,4466
40,4620
41,4861
42,5682
43,6708
44,7480
45,8216
46,8419
47,8755
48,8895
49,9371
50,11043
51,11568
52,12841
53,13894
54,14267
55,14580
56,15385
57,15914
58,16740
59,17826
60,20004
61,20715
62,21696
63,24041
64,26158
65,28698
66,30374
67,31174
68,31772
69,32187
70,34053
71,37853
72,39928
