t,cases
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,3
26,7
27,12
28,25
29,34
30,66
31,83
32,114
33,151
34,200
35,261
36,374
37,430
38,589
39,1204
40,1639
41,2140
42,3004
43,4231
44,5753
45,7753
46,9191
47,11178
48,13716
49,17147
50,19980
51,24926
52,28572
53,33089
54,39673
55,47610
56,56188
57,64059
58,72248
59,78797
60,85195
61,94417
62,102136
63,110238
64,117710
65,124736
66,130759
67,135032
68,140510
69,146690
70,152446
71,157022
72,161852
73,166019
74,169496
75,172541
76,177633
77,182816
78,188068
79,191726
80,195944
81,200210
82,204178
83,208389
84,213024
85,219764
