t,cases
1,1
2,1
3,1
4,1
5,2
6,2
7,5
8,5
9,5
10,5
11,6
12,7
13,8
14,11
15,11
16,11
17,12
18,12
19,12
20,12
21,12
22,13
23,13
24,14
25,15
26,15
27,15
28,15
29,15
30,15
31,15
32,16
33,35
34,35
35,35
36,53
37,53
38,59
39,60
40,66
41,69
42,89
43,103
44,125
45,159
46,233
47,338
48,433
49,554
50,754
51,1025
52,1312
53,1663
54,2174
55,2951
56,3774
57,4661
58,6427
59,9415
60,14250
61,19624
62,26747
63,35206
64,46442
65,55231
66,69194
67,85991
68,104686
69,124665
70,143025
71,164620
72,189618
73,216721
74,245540
75,277965
76,312237
77,337635
78,368196
79,398809
80,432132
81,466033
82,501560
83,529951
84,557571
85,582594
86,609516
87,639664
88,671331
89,702164
90,735086
91,759687
92,787752
93,825041
94,842629
95,869172
96,890524
97,939053
